职位,工资,经验,学历,公司规模
Python后台开发工程师,15k-30k,3-5年,本科,50-150人
python开发工程师,10k-20k,1-3年,本科,150-500人
软件工程师 (Python),15k-25k,1-3年,本科,15-50人
Python后台开发/数据平台/Senior,15k-30k,3-5年,本科,500-2000人
Python后端工程师,10k-20k,1-3年,本科,少于15人
Python―平安,10k-15k,1-3年,本科,500-2000人
Python内容研发,8k-16k,不限,本科,50-150人
Python工程师(B),19k-30k,3-5年,本科,15-50人
Python 全栈工程师（深圳公司）,20k-40k,5-10年,本科,150-500人
Python后台开发工程师（深圳）,10k-15k,不限,本科,2000人以上
python后台开发工程师（深圳/上海）,15k-30k,3-5年,本科,2000人以上
python后台研发,13k-15k,3-5年,本科,2000人以上
python讲师（全职/兼职）,30k-50k,5-10年,本科,500-2000人
Python 工程师（数据平台）,10k-20k,1-3年,本科,50-150人
Python 数据分析,13k-25k,3-5年,大专,500-2000人
Python后端工程师,13k-25k,1-3年,本科,500-2000人
高级Python工程师/面向对象高级Python工,15k-30k,3-5年,本科,500-2000人
Python架构师,25k-50k,5-10年,大专,15-50人
后台Python开发工程师,15k-25k,3-5年,不限,15-50人
python后台开发工程师,10k-15k,1-3年,大专,50-150人
Python 后端工程师,8k-12k,1-3年,本科,少于15人
Python开发实习生,4k-8k,应届毕业生,本科,50-150人
Python后台架构师,20k-40k,5-10年,本科,50-150人
python架构师,10k-15k,3-5年,大专,50-150人
Python数据工程师,10k-18k,1-3年,本科,少于15人
python后端工程师,8k-15k,1-3年,本科,15-50人
python 大数据后台开发工程师,20k-30k,3-5年,硕士,50-150人
python后端开发,12k-20k,3-5年,大专,2000人以上
Python实习生,5k-10k,应届毕业生,本科,50-150人
Python 实习生,5k-6k,应届毕业生,本科,2000人以上
后台Python开发工程师,15k-25k,3-5年,不限,15-50人
python后台开发工程师,10k-15k,1-3年,大专,50-150人
社区服务端开发工程师(c++/python),20k-40k,3-5年,本科,500-2000人
Python 后台工程师,15k-26k,3-5年,本科,50-150人
数据分析 Python,8k-15k,3-5年,大专,500-2000人
python后台开发工程师,11k-16k,1-3年,本科,50-150人
python数据分析,10k-15k,1-3年,本科,500-2000人
安全开发工程师(Python),6k-12k,不限,本科,50-150人
数据分析（python开发）,10k-15k,应届毕业生,本科,150-500人
python游戏服务端高级技术,12k-24k,不限,本科,150-500人
手雷-后台开发(Python/C++/Go),15k-30k,3-5年,本科,500-2000人
Python爬虫工程师,15k-30k,3-5年,本科,50-150人
python爬虫后台开发经理,28k-48k,5-10年,本科,50-150人
数据分析平台开发工程师（Python）,20k-40k,3-5年,本科,2000人以上
后端工程师（Python/C++）,15k-25k,不限,本科,少于15人
Python全栈工程师,8k-15k,1-3年,本科,2000人以上
Python高级爬虫工程师（主管）,18k-25k,5-10年,本科,150-500人
python爬虫工程师,8k-15k,3-5年,大专,15-50人
python爬虫工程师,10k-20k,3-5年,本科,50-150人
Python自动化测试,10k-19k,1-3年,本科,150-500人
python爬虫工程师,8k-16k,应届毕业生,本科,150-500人
海外-后台开发(C++/Python/Go),15k-30k,3-5年,本科,500-2000人
Python爬虫采集工程师,15k-25k,3-5年,大专,15-50人
GO工程师,15k-30k,1-3年,本科,150-500人
基础架构工程师（C/C++/Go/Python/）,30k-50k,不限,本科,50-150人
GO语言开发,15k-30k,1-3年,大专,150-500人
研发经理（算法项目落地）,25k-45k,3-5年,不限,50-150人
服务端开发工程师,20k-40k,3-5年,本科,2000人以上
"高级后端研发工程师（PHP,Python,C++）",20k-40k,应届毕业生,本科,2000人以上
高级后台开发/Python/go/Java/C++,25k-50k,3-5年,本科,50-150人
分布式后台研发工程师（Java）,15k-25k,5-10年,本科,15-50人
服务开发工程师,15k-30k,1-3年,本科,15-50人
算法开发工程师,15k-30k,3-5年,本科,150-500人
AR应用测试工程师,15k-30k,1-3年,本科,2000人以上
数据仓库（高级）开发工程师,15k-30k,1-3年,本科,2000人以上
TO B业务WEB研发工程师,15k-30k,1-3年,本科,500-2000人
研发经理（云端产品）,25k-45k,5-10年,不限,50-150人
微服务平台-高级开发工程师/架构师,20k-35k,3-5年,本科,500-2000人
高级后台开发工程师,30k-50k,3-5年,本科,2000人以上
AI/ML Engineer AI软件工程师（Ar,30k-50k,3-5年,硕士,15-50人
后端开发工程师,12k-24k,1-3年,本科,50-150人
高级后台开发工程师,20k-40k,5-10年,本科,50-150人
技术副总监（数据分析方向）J10758,30k-50k,5-10年,本科,2000人以上
大数据开发工程师,20k-30k,3-5年,大专,150-500人
大数据开发工程师,15k-30k,3-5年,本科,500-2000人
DevOps开发工程师,30k-60k,5-10年,大专,2000人以上
高级数据开发工程师,20k-35k,3-5年,本科,500-2000人
配置开发工程师,15k-30k,3-5年,本科,2000人以上
后台研发工程师,15k-20k,3-5年,大专,50-150人
服务端开发工程师,15k-30k,1-3年,大专,500-2000人
客户端开发工程师,15k-30k,不限,本科,150-500人
后端软件工程师,20k-40k,不限,本科,2000人以上
机器人软件开发工程师,20k-40k,3-5年,本科,50-150人
高级算法研发工程师,20k-40k,1-3年,本科,50-150人
AI服务端开发工程师,15k-30k,1-3年,不限,500-2000人
大数据开发工程师,15k-30k,3-5年,大专,50-150人
行情开发工程师,20K-40K,3-5年,本科,500-2000人
智能传感器开发工程师/经理,10k-20k,3-5年,本科,2000人以上
大数据开发工程师,18k-30k,3-5年,本科,2000人以上
Go语言开发,15k-25k,1-3年,本科,150-500人
大数据开发工程师（数据仓库）,18k-35k,3-5年,本科,150-500人
运维开发工程师,12k-24k,不限,本科,500-2000人
c++开发工程师,15k-25k,3-5年,本科,15-50人
全栈工程师,15k-30k,1-3年,本科,15-50人
区块链-高级GO/Golang开发工程师,20k-40k,5-10年,本科,15-50人
服务端开发工程师,18k-35k,3-5年,本科,150-500人
供应链后台开发工程师,15k-30k,1-3年,本科,2000人以上
C++开发工程师,8k-13k,1-3年,本科,50-150人
区块链开发工程师,10k-20k,3-5年,本科,50-150人
运维开发工程师,15k-25k,3-5年,本科,50-150人
驱动开发工程师,10k-20k,不限,本科,2000人以上
高級前端工程师,20k-35k,3-5年,本科,50-150人
算法工程师,15k-30k,3-5年,本科,50-150人
数据开发工程师,18k-36k,不限,本科,500-2000人
后端开发,8k-16k,1年以下,本科,150-500人
后端工程师,15k-25k,3-5年,本科,50-150人
系统开发工程师（云地图）,15k-30k,1-3年,本科,2000人以上
OpenStack运维开发工程师,15k-30k,3-5年,本科,500-2000人
运维开发工程师,10k-20k,1-3年,本科,150-500人
大数据平台开发工程师,18k-30k,5-10年,本科,150-500人
高级运维开发工程师,10k-20k,1-3年,大专,50-150人
数据开发工程师,10k-20k,1-3年,本科,150-500人
大数据开发工程师,15k-30k,3-5年,本科,50-150人
