职位,工资,经验,学历,公司规模
NLP高级算法工程师,15k-30k,3-5年,硕士,2000人以上
大数据算法工程师,14k-28k,不限,本科,2000人以上
数据分析（南京）,15k-20k,1-3年,本科,150-500人
遥感数据分析师,8k-15k,3-5年,硕士,50-150人
windows系统管理员,5k-9k,1-3年,大专,15-50人
Golang 开发工程师,5k-9k,不限,不限,50-150人
IM开发工程师,15k-25k,3-5年,本科,15-50人
软件测试工程师,9k-14k,3-5年,大专,500-2000人
C++软件开发工程师,12k-20k,3-5年,本科,50-150人
Web后端开发工程师,10k-20k,不限,本科,500-2000人
移动端测试开发工程师,10k-20k,3-5年,本科,2000人以上
人工智能研发工程师,10k-15k,不限,本科,150-500人
技术支持工程师,10k-15k,3-5年,大专,50-150人
运维安全专家,15k-25k,3-5年,本科,2000人以上
后端开发工程师,9k-14k,1-3年,本科,15-50人
初级软件开发工程师,15k-20k,1-3年,本科,2000人以上
运维工程师,4k-8k,1-3年,本科,500-2000人
c++开发工程师,15K-25K,5-10年,本科,50-150人
测试工程师（南京）,14k-20k,3-5年,本科,2000人以上
图像算法工程师,9k-18k,不限,本科,150-500人
算法工程师（人工智能/深度学习）,20k-25k,1-3年,本科,15-50人
前端开发工程师,7k-14k,1-3年,本科,50-150人
高级安全研发工程师,15k-25k,3-5年,本科,50-150人
测试经理,16k-23k,3-5年,本科,150-500人
全栈工程师,15k-25k,3-5年,本科,500-2000人
服务端开发工程师,17k-34k,3-5年,本科,2000人以上
安全、渗透测试专家,15k-20k,3-5年,不限,2000人以上
数据挖掘工程师,8k-15k,不限,硕士,150-500人
数据分析师,15k-30k,不限,本科,150-500人
后端开发工程师（高级）,15k-25k,5-10年,本科,50-150人
GIS高级研发工程师,10k-20k,1-3年,本科,500-2000人
技术运维工程师,10k-15k,3-5年,本科,2000人以上
运维工程师（校招）,10k-20k,应届毕业生,本科,2000人以上
技术支持工程师,24k-25k,3-5年,本科,500-2000人
Java 资深开发工程师,13k-20k,5-10年,本科,150-500人
windows开发工程师,8k-15k,1-3年,本科,50-150人
高级数据分析工程师,20k-40k,3-5年,本科,15-50人
全栈工程师,10k-15k,3-5年,本科,15-50人
Linux资深开发工程师,20k-30k,3-5年,本科,500-2000人
深度学习系统研发工程师,15k-30k,不限,本科,500-2000人
测试开发工程师---南京,25k-50k,1-3年,本科,2000人以上
java高级开发工程师,12k-18k,5-10年,本科,150-500人
Openstack开发工程师,15k-25k,不限,本科,50-150人
前端开发工程师,15k-25k,3-5年,本科,15-50人
音视频开发工程师(C/C++),8k-15k,1-3年,本科,150-500人
自动化测试,8k-14k,3-5年,本科,2000人以上
全栈工程师,10k-20k,3-5年,本科,15-50人
AI算法工程师,10k-20k,1-3年,本科,50-150人
后端开发工程师,10k-15k,3-5年,大专,15-50人
C++开发工程师,14k-18k,3-5年,本科,150-500人
C/perl语言开发工程师,6k-8k,应届毕业生,本科,500-2000人
数据科学家（经理/总监）,30k-60k,5-10年,硕士,150-500人
web开发,7k-10k,1-3年,本科,15-50人
大数据开发工程师,10k-20k,3-5年,本科,500-2000人
软件测试工具开发工程师,15k-30k,5-10年,本科,500-2000人
区块链开发工程师,10k-15k,应届毕业生,本科,150-500人
前端开发工程师,7K-14K,1-3年,本科,15-50人
