职位,工资,经验,学历,公司规模
java,8k-15k,1-3年,大专,15-50人
软件测试工程师（自动化测试）,4k-6k,不限,大专,150-500人
区块链工程师,25k-40k,不限,本科,15-50人
运维工程师,8k-10k,3-5年,大专,50-150人
数据挖掘工程师(hadoop方向),18k-20k,1-3年,大专,150-500人
it运维工程师,5k-10k,1-3年,大专,15-50人
中高级数据后台开发,8k-10k,1-3年,不限,15-50人
图像算法工程师（应届生）,5k-10k,应届毕业生,本科,150-500人
自然语言处理工程师,20k-30k,1-3年,硕士,少于15人
风控算法工程师,20k-40k,3-5年,本科,500-2000人
大数据前端工程师,15k-30k,3-5年,本科,2000人以上
Golang开发工程师,6k-10k,不限,大专,15-50人
运维工程师,5k-8k,3-5年,本科,50-150人
PHP开发工程师,8K-12K,1-3年,本科,500-2000人
Golang,15k-30k,不限,不限,2000人以上
测试工程师,8k-15k,3-5年,大专,15-50人
Web开发实习生,2k-4k,不限,不限,少于15人
nlp自然语言处理,8k-15k,1年以下,本科,15-50人
渗透测试（实习）,3k-5k,不限,本科,500-2000人
网络安全工程师,5k-10k,不限,本科,少于15人
软件测试主管,8k-10k,1-3年,大专,15-50人
系统运维工程师,7k-12k,3-5年,不限,50-150人
PHP开发工程师,8k-15k,1-3年,本科,50-150人
大数据/AI架构工程师（深圳/厦门）,20k-30k,1-3年,本科,150-500人
高级大数据工程师（厦门）,18k-35k,3-5年,本科,500-2000人
高级运维工程师,20k-30k,3-5年,本科,2000人以上
自动化测试主管,8k-12k,3-5年,不限,15-50人
Java工程师,10k-20k,1-3年,本科,15-50人
物联网平台架构师（JAVA）,15k-30k,5-10年,本科,500-2000人
运维工程师,8k-12k,1年以下,本科,500-2000人
Java开发工程师,7k-14k,1-3年,大专,50-150人
服务端开发实习生,5k-7k,应届毕业生,本科,500-2000人
web前端开发工程师,8k-16k,1-3年,本科,50-150人
机器学习（实习生）,2k-3k,不限,本科,50-150人
Linux运维工程师,6k-12k,不限,本科,50-150人
自然语言理解（NLP）算法工程师（厦门）,10k-20k,不限,本科,500-2000人
大数据工程师,10k-20k,不限,不限,15-50人
数据挖掘分析,8k-16k,不限,硕士,150-500人
机器学习算法工程师,15k-20k,1-3年,大专,150-500人
高级运维工程师,14k-28k,3-5年,本科,500-2000人
功能测试工程师,12k-15k,3-5年,本科,2000人以上
运维开发师-DevOps,8k-15k,1-3年,本科,500-2000人
爬虫工程师,6k-10k,1年以下,大专,15-50人
数据分析,6K-10K,1-3年,本科,15-50人
Java 后端工程师,8k-12k,1-3年,本科,15-50人
运维工程师,7k-14k,3-5年,本科,50-150人
爬虫工程师,8k-10k,1-3年,不限,15-50人
测试工程师,6k-12k,1-3年,本科,50-150人
AIOps机器学习算法工程师,15k-30k,不限,硕士,150-500人
数据分析,7k-11k,1-3年,本科,15-50人
爬虫工程师,15k-30k,3-5年,本科,2000人以上
算法专家,25k-50k,5-10年,本科,2000人以上
爬虫工程师,15k-30k,不限,本科,2000人以上
运维工程师,15k-30k,3-5年,本科,2000人以上
算法专家,25k-45k,不限,本科,2000人以上
数据仓库工程师,13k-25k,3-5年,本科,2000人以上
风控策略（厦门）,21k-36k,3-5年,不限,500-2000人
自动化测试,8k-14k,3-5年,本科,500-2000人
测试开发工程师,10k-15k,3-5年,本科,2000人以上
C/C++开发工程师,7k-14k,1-3年,本科,2000人以上
c++开发工程师,10k-18k,不限,本科,2000人以上
测试开发工程师-厦门-01426,10k-15k,5-10年,本科,2000人以上
C++ 开发工程师,15k-25k,5-10年,本科,2000人以上
【2019校招】GO开发工程师,8k-15k,应届毕业生,本科,2000人以上
【2019校招】自动化测试开发工程师,8k-15k,应届毕业生,本科,2000人以上
系统工程师,10k-20k,不限,本科,2000人以上
c++后端研发工程师,10k-20k,不限,本科,2000人以上
大数据运维开发工程师,6k-12k,不限,本科,2000人以上
高级Java开发工程师,12k-18k,5-10年,本科,2000人以上
测试与质量工程师,8k-16k,不限,本科,2000人以上
算法工程师,15k-25k,3-5年,本科,2000人以上
Java软件开发工程师,10k-20k,3-5年,本科,2000人以上
【2019校招】 C/C++开发工程师,8k-15k,应届毕业生,本科,2000人以上
深度学习算法研究工程师-厦门,15k-30k,1-3年,硕士,150-500人
自然语言处理（深度学习/NLP）,15k-30k,1-3年,硕士,150-500人
机器翻译算法工程师（MT）-厦门,15k-30k,1-3年,硕士,150-500人
语音识别算法工程师(ASR)-厦门,15k-30k,1-3年,硕士,150-500人
联机手写识别算法工程师（HWR）-厦门,15k-30k,1-3年,硕士,150-500人
语音合成算法工程师（TTS)-厦门,15k-30k,1-3年,硕士,150-500人
指纹识别算法工程师（FPR）-厦门,15k-30k,1-3年,本科,150-500人
语音信号处理算法工程师（SSP)-厦门,15k-30k,1-3年,硕士,150-500人
自动化运维工程师,6k-10k,3-5年,本科,2000人以上
高级运维工程师,8k-12k,3-5年,本科,2000人以上
Java开发工程师,8k-15k,不限,本科,2000人以上
产品运维工程师,8k-15k,不限,本科,2000人以上
产品运营工程师,10k-20k,1-3年,本科,2000人以上
测试工程师,10k-15k,1-3年,本科,2000人以上
高级web安全工程师,20k-35k,不限,本科,2000人以上
机器学习算法工程师,20k-40k,不限,不限,2000人以上
【2019校招】 数据开发工程师,8k-15k,应届毕业生,本科,2000人以上
算法工程师（机器学习）,20k-30k,3-5年,本科,2000人以上
测试工程师（QA）,8k-15k,1-3年,本科,2000人以上
SAAS平台负责人/首席架构师 T7/T8,30k-45k,10年以上,本科,2000人以上
C/C++开发实习生,1k-2k,不限,本科,2000人以上
机器学习工程师,10k-20k,不限,本科,2000人以上
软件测试工程师-云计算,7k-10k,1-3年,本科,2000人以上
算法工程师校招,12k-14k,应届毕业生,本科,500-2000人
高级数据平台工程师,20k-40k,3-5年,本科,500-2000人
系统架构师-厦门-云计算方向,10k-20k,5-10年,本科,2000人以上
运维工程师,15k-30k,不限,不限,2000人以上
【2019校招】 测试开发工程师,8k-15k,应届毕业生,本科,2000人以上
爬虫工程师,14k-20k,不限,本科,2000人以上
高级测试工程师,15k-30k,不限,本科,500-2000人
数据库工程师,15k-30k,不限,不限,2000人以上
【2019校招】前端开发工程师,8k-15k,应届毕业生,本科,2000人以上
java开发工程师,7k-13k,不限,本科,2000人以上
java开发工程师,10k-20k,不限,本科,2000人以上
web安全工程师,15k-30k,不限,不限,2000人以上
【2019校招】JAVA开发工程师,8k-15k,应届毕业生,本科,2000人以上
数据挖掘工程师,20k-40k,不限,硕士,2000人以上
高级数据平台工程师,15k-30k,3-5年,本科,500-2000人
高级测试工程师,15k-20k,5-10年,本科,500-2000人
BI架构师（厦门）,30k-55k,5-10年,本科,500-2000人
高级DBA,14k-28k,3-5年,本科,500-2000人
数据库技术专家DBA,15k-30k,3-5年,本科,2000人以上
平台负责人/首席架构师,35k-45k,10年以上,本科,2000人以上
SRE业务运维工程师,15k-30k,3-5年,本科,2000人以上
测试工程师（厦门）,18k-35k,1-3年,本科,500-2000人
数据分析工程师,8k-15k,3-5年,本科,2000人以上
数据分析工程师,10k-20k,1-3年,本科,2000人以上
产品经理,8k-16k,不限,本科,2000人以上
