职位,工资,经验,学历,公司规模
大数据开发工程师,15k-30k,3-5年,硕士,500-2000人
运维开发工程师,5k-10k,应届毕业生,本科,15-50人
ai开发工程师,18k-35k,3-5年,本科,2000人以上
嵌入式开发,8k-16k,3-5年,本科,2000人以上
php架构师,15k-20k,5-10年,本科,500-2000人
实施运维工程师-云产品方向,10k-20k,3-5年,大专,150-500人
html5,6k-12k,3-5年,本科,50-150人
测试开发工程师（2019年毕业本科/硕士）,10k-13k,应届毕业生,本科,2000人以上
项目经理,15k-25k,3-5年,本科,15-50人
资深大数据架构师,20k-40k,5-10年,硕士,500-2000人
算法工程师,15k-25k,5-10年,不限,150-500人
web前端开发工程师,8k-16k,1-3年,本科,15-50人
广告系统架构师,10k-20k,5-10年,本科,15-50人
PHP高级开发工程师,8k-15k,3-5年,不限,15-50人
高级C/C++工程师,8k-16k,3-5年,本科,15-50人
Java/C++开发工程师,13k-25k,3-5年,不限,2000人以上
大数据开发工程师,15k-30k,3-5年,本科,2000人以上
数据分析师,7k-10k,1-3年,本科,2000人以上
nodejs后端,8k-15k,3-5年,本科,150-500人
广告系统架构师,10k-20k,5-10年,本科,50-150人
web初级前端开发工程师,6k-10k,1-3年,大专,少于15人
产品专员,4k-8k,1-3年,大专,500-2000人
php开发工程师,14k-18k,3-5年,本科,2000人以上
数据分析师,13k-25k,3-5年,本科,150-500人
大数据开发工程师,8k-16k,3-5年,本科,50-150人
DevOps,8k-14k,1-3年,本科,15-50人
算法工程师,15k-30k,3-5年,本科,50-150人
云服务运维工程师,8k-13k,1-3年,本科,15-50人
PHP工程师（Laravel/Lumen方向）,7k-14k,1-3年,不限,15-50人
研发总监,20k-25k,5-10年,本科,150-500人
架构工程师,9k-12k,3-5年,本科,15-50人
测试主管-西安-18838,12k-20k,3-5年,本科,2000人以上
实施工程师 (MJ000051),5k-10k,不限,大专,150-500人
Devops工程师,12k-16k,3-5年,本科,15-50人
数据测试工程师,7k-12k,1-3年,不限,2000人以上
web前端开发工程师,8k-12k,1-3年,本科,15-50人
运维工程师,8k-16k,3-5年,不限,50-150人
中级测试工程师-西安-18842,8k-15k,1-3年,本科,2000人以上
架构师（区块链开发）,15k-30k,5-10年,大专,150-500人
大数据业务方向-大数据架构师,20k-25k,5-10年,硕士,2000人以上
深度学习算法工程师,10k-15k,1-3年,本科,15-50人
大数据仓库架构师（西安）,18k-30k,3-5年,大专,150-500人
软件测试工程师,5k-10k,3-5年,本科,500-2000人
运维工程师,5k-10k,3-5年,本科,150-500人
