职位,工资,经验,学历,公司规模
游戏数据分析师,8k-16k,1-3年,本科,500-2000人
云平台高级开发工程师,10k-20k,1-3年,本科,150-500人
软件工程师,5k-10k,1-3年,大专,少于15人
推荐算法工程师,15k-30k,3-5年,本科,2000人以上
大数据运维工程师,10k-20k,3-5年,大专,150-500人
测试（中级或高级）苏州,6k-10k,3-5年,本科,2000人以上
技术测试,10k-20k,3-5年,不限,2000人以上
云计算运维工程师-苏州,15k-20k,3-5年,大专,15-50人
运营推广（出海产品）,10k-20k,3-5年,本科,15-50人
服务器运维工程师,10k-20k,3-5年,本科,2000人以上
场景模型师,10k-18k,3-5年,大专,50-150人
特效师,8k-15k,3-5年,不限,50-150人
GO/Java开发工程师,8k-15k,3-5年,本科,15-50人
语音识别,15k-30k,3-5年,硕士,50-150人
运维工程师,8k-16k,3-5年,本科,150-500人
运维工程师,14k-20k,5-10年,本科,50-150人
测试工程师,9k-15k,3-5年,大专,15-50人
NLP实习生,15k-30k,不限,硕士,150-500人
大数据研发负责人,40k-60k,5-10年,本科,2000人以上
运维工程师,13k-25k,1-3年,本科,150-500人
角色模型师,10k-18k,3-5年,大专,50-150人
JavaScript前端工程师,15k-30k,5-10年,硕士,2000人以上
在线教育产品经理（C端产品方向）,8k-15k,3-5年,本科,2000人以上
渗透测试工程师（高级）,15k-25k,3-5年,不限,15-50人
数据分析师,20k-30k,3-5年,本科,15-50人
高级运维工程师,15K-25K,5-10年,大专,500-2000人
Web 开发经理,15k-25k,5-10年,本科,50-150人
算法工程师（Slam/运动控制/模式识别/图像等）,14k-25k,3-5年,本科,2000人以上
运维工程师(信用),7k-14k,1-3年,不限,150-500人
软件工程师,6k-12k,1-3年,本科,少于15人
中级运维工程师,8k-15k,3-5年,本科,50-150人
高级数据分析师,15k-30k,5-10年,本科,150-500人
自然语言处理（19年校招岗位）,15k-20k,应届毕业生,硕士,150-500人
QA测试工程师,15k-25k,3-5年,本科,2000人以上
安卓测试开发工程师,13k-25k,3-5年,本科,150-500人
测试工程师,7k-8k,1-3年,大专,少于15人
nlp数据挖掘专家,20k-35k,3-5年,本科,15-50人
人工智能算法工程师,15k-25k,1-3年,硕士,15-50人
运维工程师,6k-12k,3-5年,不限,15-50人
测试工程师,5k-10k,1-3年,本科,50-150人
测试工程师,6k-10k,3-5年,大专,15-50人
运维工程师,8k-10k,1-3年,大专,15-50人
测试工程师,6k-12k,1-3年,大专,500-2000人
运维经理,10k-15k,3-5年,本科,50-150人
中级测试工程师,5k-8k,1-3年,本科,15-50人
测试工程师,6k-12k,不限,不限,500-2000人
测试工程师,7k-10k,1-3年,本科,50-150人
爬虫工程师,8k-15k,1-3年,本科,50-150人
高级数据分析师,20k-30k,5-10年,本科,2000人以上
机器学习算法工程师,15k-20k,1年以下,本科,2000人以上
爬虫工程师,8k-16k,1-3年,本科,50-150人
测试工程师,7k-14k,1-3年,本科,50-150人
数据挖掘,15k-30k,1-3年,本科,2000人以上
数据分析,10k-18k,3-5年,本科,2000人以上
自然语言处理工程师,20k-35k,3-5年,本科,少于15人
控制算法工程师-苏州,25k-45k,不限,硕士,150-500人
后端开发工程师（苏州）,15k-30k,应届毕业生,本科,50-150人
前端开发工程师(J10316),15k-20k,1-3年,本科,500-2000人
定位及高精度地图算法工程师,20k-40k,应届毕业生,本科,50-150人
感知算法工程师（苏州）,20k-40k,应届毕业生,本科,50-150人
规划算法工程师（苏州）,20k-40k,应届毕业生,本科,50-150人
运维开发工程师,10K-20K,1-3年,本科,500-2000人
系统集成验证工程师（软件方向）J10167,15k-20k,1-3年,本科,500-2000人
前端开发工程师(J10316),15k-20k,1-3年,本科,500-2000人
中高级MySQL/PostgreSQL DBA,15k-20k,1-3年,本科,500-2000人
高级语音识别工程师,20k-40k,3-5年,硕士,150-500人
【实习】NLP 算法实习生,4k-6k,应届毕业生,硕士,150-500人
【校招】声纹识别工程师,15k-30k,应届毕业生,硕士,150-500人
数据挖掘工程师,12k-20k,1-3年,本科,150-500人
数据运营经理,15k-25k,5-10年,本科,150-500人
运维技术专家,15k-25k,3-5年,本科,150-500人
NLP算法研究员,15k-30k,3-5年,硕士,150-500人
深度学习研发工程师,15k-30k,1-3年,硕士,150-500人
测试工程师,10k-20k,3-5年,本科,2000人以上
图像算法/深度学习工程师,15k-25k,3-5年,本科,2000人以上
测试实习生,6k-10k,不限,本科,2000人以上
运维工程师,10k-20k,1-3年,大专,2000人以上
数据挖掘算法,20k-35k,3-5年,本科,15-50人
数据分析师,15k-25k,3-5年,本科,150-500人
高级数据分析师,20k-30k,3-5年,本科,150-500人
数据分析师,15k-25k,3-5年,本科,2000人以上
