职位,工资,经验,学历,公司规模
中级云计算开发工程师,9k-13k,3-5年,本科,150-500人
高级测试开发工程师,13k-25k,3-5年,本科,150-500人
仿真系统开发工程师（3D引擎）,10k-20k,不限,本科,150-500人
web前端开发工程师（成都）,20k-40k,1-3年,本科,150-500人
大数据开发工程师,5k-10k,1-3年,本科,50-150人
c++开发工程师,4k-8k,1-3年,大专,50-150人
Hadoop开发工程师,10k-18k,3-5年,本科,2000人以上
算法工程师,20k-35k,3-5年,本科,50-150人
高级web前端工程师,10k-20k,3-5年,本科,500-2000人
高级C++工程师,10k-15k,3-5年,本科,150-500人
JAVA研发工程师,10k-20k,不限,本科,50-150人
软件工程师-应用计算方向,15k-25k,3-5年,本科,15-50人
高级云计算开发工程师,10k-18k,5-10年,本科,150-500人
算法工程师(重庆),15k-25k,3-5年,本科,500-2000人
云开源工程师-成都-00078,10k-20k,1-3年,本科,50-150人
Java开发工程师-成都,10k-20k,5-10年,本科,150-500人
运维开发工程师,15k-30k,不限,不限,150-500人
PHP开发工程师,8k-12k,3-5年,本科,50-150人
web前端工程师,4k-8k,1-3年,大专,15-50人
算法工程师,20k-30k,3-5年,本科,500-2000人
高级测试开发工程师,12k-20k,3-5年,本科,150-500人
大数据开发工程师_高级,15k-30k,3-5年,本科,15-50人
Java中高级工程师(微服务开发),15k-20k,不限,本科,150-500人
应用工程师,10k-20k,不限,本科,150-500人
软件开发工程师,10k-20k,不限,本科,15-50人
ETL开发工程师-LH(J10442),10k-15k,1-3年,本科,2000人以上
AI工程师,12k-16k,3-5年,大专,500-2000人
高级java开发工程师,20k-35k,5-10年,本科,50-150人
C++开发工程师,12k-24k,5-10年,本科,150-500人
Linux研发工程师,15k-25k,10年以上,本科,15-50人
java大数据研发工程师,13k-20k,3-5年,本科,50-150人
人工智能工程师,8k-12k,1-3年,本科,50-150人
DevOps运维开发工程师,10k-20k,3-5年,本科,15-50人
技术总监,12k-20k,5-10年,不限,15-50人
初中级Java,6k-12k,1-3年,本科,500-2000人
机器学习应用开发工程师,15k-20k,1-3年,硕士,50-150人
小程序开发,4k-8k,1-3年,大专,15-50人
算法工程师,9k-18k,1-3年,本科,150-500人
高级大数据开发工程师,10k-20k,3-5年,大专,150-500人
高级系统工程师,10K-20K,3-5年,本科,2000人以上
JAVA（郫都区）,10k-15k,3-5年,本科,150-500人
数据挖掘工程师（高级）,9k-18k,3-5年,本科,2000人以上
基础架构开发工程师,10k-20k,1-3年,本科,150-500人
AI算法工程师,25k-35k,3-5年,本科,2000人以上
大数据开发工程师,8k-15k,1-3年,本科,150-500人
算法工程师(成都),20k-30k,不限,本科,500-2000人
PHP程序开发员,20k-30k,1-3年,大专,150-500人
知识图谱研发工程师,7k-13k,1-3年,本科,50-150人
大数据开发工程师,13k-26k,5-10年,硕士,150-500人
数据研发工程师,18k-25k,3-5年,大专,2000人以上
测试工程师（有开发经验优先）,11k-18k,3-5年,本科,500-2000人
路由器开发工程师,10k-20k,5-10年,大专,50-150人
服务器开发工程师,15k-30k,1-3年,本科,500-2000人
AI研发工程师,8k-16k,3-5年,本科,50-150人
资深算法工程师,20k-40k,5-10年,硕士,150-500人
技术经理,20k-25k,3-5年,本科,15-50人
大数据开发工程师,12k-16k,3-5年,本科,150-500人
cocos2d-x lua 客户端开发,6k-10k,1-3年,本科,150-500人
软件测试工程师,10k-18k,1-3年,本科,150-500人
图像算法工程师,8k-15k,1-3年,本科,2000人以上
后端开发工程师,8k-15k,1-3年,本科,150-500人
高级推荐算法工程师（成都）,20k-35k,3-5年,本科,2000人以上
语音识别算法工程师（初中高级）,15k-30k,3-5年,本科,50-150人
Web全栈工程师,20k-40k,1-3年,本科,150-500人
服务器开发工程师（C/C++ 开发）,10k-20k,3-5年,本科,50-150人
遥感工程师,10k-16k,1-3年,硕士,15-50人
技术支持工程师,4k-6k,1年以下,本科,150-500人
网络测试工程师,15k-20k,1-3年,不限,150-500人
运维工程师,15k-25k,3-5年,大专,50-150人
大数据开发工程师,25k-40k,5-10年,本科,500-2000人
大数据运维工程师,15k-25k,3-5年,本科,2000人以上
测试工程师,7k-11k,3-5年,本科,2000人以上
高级运维工程师（成都）,20k-35k,3-5年,本科,2000人以上
高级软件工程师（云平台）-成都-00086,20k-40k,3-5年,本科,50-150人
大数据算法工程师,3k-5k,应届毕业生,硕士,500-2000人
后台／服务端／服务器开发工程师,15k-25k,3-5年,本科,50-150人
数据架构工程师,20k-30k,5-10年,大专,2000人以上
数据分析工程师,4k-8k,不限,本科,15-50人
测试工程师,6k-12k,3-5年,大专,150-500人
云计算研发工程师,14k-22k,1-3年,本科,150-500人
java高级工程师,10k-13k,3-5年,不限,150-500人
高级大数据建模工程师,13k-25k,1-3年,硕士,150-500人
数据运营专员,6k-10k,1-3年,本科,500-2000人
